MAIN_ERROR,Count,Percentage
READ memory access,1874,29.9840%
runtime error,1408,22.5280%
allocation-size-too-big,49,0.7840%
requested allocation size .* exceeds maximum supported size,51,0.8160%
WRITE memory access,652,10.4320%
use-of-uninitialized-value,864,13.8240%
heap-use-after-free,288,4.6080%
Direct leak,141,2.2560%
attempting free on address which was not malloc,18,0.2880%
global-buffer-overflow,202,3.2320%
heap-buffer-overflow,385,6.1600%
stack-buffer-overflow,104,1.6640%
stack-overflow,203,3.2480%
negative-size-param,4,0.0640%
strcpy-param-overlap,2,0.0320%
memcpy-param-overlap,5,0.0800%
