ERROR_DETAIL,Runtime Error Count,Percentage
index .* out of bounds,475,32.9175%
member access within null pointer,41,2.8413%
load of null pointer,55,3.8115%
signed integer overflow,115,7.9695%
member access within misaligned address,125,8.6625%
applying non-zero offset .* to null pointer,93,6.4449%
load of value .* not a valid value,13,0.9009%
store to null pointer,21,1.4553%
negation of .* cannot be represented,21,1.4553%
store to misaligned address,65,4.5045%
null pointer passed as argument,58,4.0194%
left shift of 1 by 31 places cannot be represented,44,3.0492%
execution reached an unreachable program point,16,1.1088%
Others,301,20.86%
