MAIN_ERROR,blade,chisel,cov,cova,covf,cov-eh,cov-exit-aug,cova-exit,covf-exit,cov-eh-exit,Total
Direct leak,36,54,14,13,12,12,5,6,4,6,162
READ memory access,329,471,455,213,212,194,2,8,2,3,1889
WRITE memory access,144,137,175,62,60,74,6,7,6,6,677
allocation-size-too-big,18,3,10,1,7,10,0,0,0,0,49
attempting free on address which was not malloc,1,0,2,8,2,5,0,0,0,0,18
global-buffer-overflow,20,35,42,60,21,24,0,0,0,1,203
heap-buffer-overflow,21,26,97,96,69,76,0,0,0,0,385
heap-use-after-free,83,35,52,19,65,34,0,0,0,0,288
memcpy-param-overlap,0,0,1,1,1,2,0,0,0,0,5
negative-size-param,0,0,1,0,1,2,0,0,0,0,4
requested allocation size .* exceeds maximum supported size,19,4,10,1,7,10,0,0,0,0,51
runtime error,212,298,331,111,236,220,0,2,0,5,1415
stack-overflow-related,20,70,88,67,45,17,0,0,0,0,307
strcpy-param-overlap,0,0,1,0,1,0,0,0,0,0,2
use-of-uninitialized-value,58,58,264,158,142,184,0,1,1,3,869
总计,961,1191,1543,810,881,864,13,24,13,24,6324
百分比,15.20%,18.83%,24.40%,12.81%,13.93%,13.66%,0.21%,0.38%,0.21%,0.38%,100%
