MAIN_ERROR,Count,Percentage
Direct leak,12,1.39%
READ memory access,194,22.45%
WRITE memory access,74,8.56%
allocation-size-too-big,10,1.16%
attempting free on address which was not malloc,5,0.58%
global-buffer-overflow,24,2.78%
heap-buffer-overflow,76,8.80%
heap-use-after-free,34,3.94%
memcpy-param-overlap,2,0.23%
negative-size-param,2,0.23%
requested allocation size .* exceeds maximum supported size,10,1.16%
runtime error,220,25.46%
stack-overflow-related,17,1.97%
use-of-uninitialized-value,184,21.30%
总计,864,100%
