MAIN_ERROR,Count,Percentage
Direct leak,14,0.91%
READ memory access,455,29.49%
WRITE memory access,175,11.34%
allocation-size-too-big,10,0.65%
attempting free on address which was not malloc,2,0.13%
global-buffer-overflow,42,2.72%
heap-buffer-overflow,97,6.29%
heap-use-after-free,52,3.37%
memcpy-param-overlap,1,0.06%
negative-size-param,1,0.06%
requested allocation size .* exceeds maximum supported size,10,0.65%
runtime error,331,21.45%
stack-overflow-related,88,5.70%
strcpy-param-overlap,1,0.06%
use-of-uninitialized-value,264,17.11%
总计,1543,100%
