MAIN_ERROR,Count,Percentage
Direct leak,12,1.36%
READ memory access,212,24.06%
WRITE memory access,60,6.81%
allocation-size-too-big,7,0.79%
attempting free on address which was not malloc,2,0.23%
global-buffer-overflow,21,2.38%
heap-buffer-overflow,69,7.83%
heap-use-after-free,65,7.38%
memcpy-param-overlap,1,0.11%
negative-size-param,1,0.11%
requested allocation size .* exceeds maximum supported size,7,0.79%
runtime error,236,26.79%
stack-overflow-related,45,5.11%
strcpy-param-overlap,1,0.11%
use-of-uninitialized-value,142,16.12%
总计,881,100%
